IDs		T_Count
I9 I14 I16 		6
I9 I14 I17 		7
I9 I14 I18 		7
I9 I14 I19 		7
I9 I14 I20 		6
I9 I15 I16 		6
I9 I15 I17 		7
I9 I15 I18 		6
I9 I15 I19 		6
I9 I15 I20 		5
I9 I16 I17 		6
I9 I16 I18 		7
I9 I16 I19 		5
I9 I16 I20 		5
I9 I17 I18 		6
I9 I17 I19 		6
I9 I17 I20 		5
I9 I18 I19 		6
I9 I18 I20 		6
I9 I19 I20 		5
I10 I12 I13 		5
I10 I12 I14 		5
I10 I12 I15 		5
I10 I12 I16 		5
I10 I12 I17 		6
I10 I12 I18 		6
I10 I12 I19 		6
I10 I12 I20 		7
I10 I13 I15 		5
I10 I13 I16 		5
I10 I13 I17 		6
I10 I13 I18 		5
I10 I13 I19 		6
I10 I13 I20 		5
I10 I14 I15 		5
I10 I14 I16 		5
I10 I14 I17 		5
I10 I14 I18 		6
I10 I14 I19 		5
I10 I14 I20 		5
I10 I15 I16 		6
I10 I15 I17 		6
I10 I15 I18 		5
I10 I15 I19 		5
I10 I15 I20 		5
I10 I16 I17 		6
I10 I16 I18 		5
I10 I16 I19 		5
I10 I16 I20 		5
I10 I17 I18 		6
I10 I17 I19 		6
I10 I17 I20 		6
I10 I18 I19 		6
I10 I18 I20 		6
I10 I19 I20 		6
I11 I12 I14 		5
I11 I12 I15 		5
I11 I12 I16 		5
I11 I12 I20 		6
I11 I14 I15 		7
I11 I14 I16 		5
I11 I14 I17 		6
I11 I14 I20 		6
I11 I15 I16 		5
I11 I15 I17 		6
I11 I15 I20 		6
I11 I16 I17 		5
I11 I16 I18 		5
I11 I16 I20 		5
I11 I17 I20 		5
I12 I13 I14 		5
I12 I13 I15 		6
I12 I13 I16 		5
I12 I13 I17 		6
I12 I13 I18 		5
I12 I13 I19 		6
I12 I13 I20 		6
I12 I14 I15 		7
I12 I14 I16 		7
I12 I14 I17 		7
I12 I14 I18 		6
I12 I14 I19 		5
I12 I14 I20 		7
I12 I15 I16 		7
I12 I15 I17 		7
I12 I15 I18 		5
I12 I15 I19 		5
I12 I15 I20 		7
I12 I16 I17 		8
I12 I16 I18 		6
I12 I16 I19 		5
I12 I16 I20 		7
I12 I17 I18 		6
I12 I17 I19 		6
I12 I17 I20 		7
I12 I18 I19 		6
I12 I18 I20 		7
I12 I19 I20 		6
I13 I14 I15 		6
I13 I14 I16 		5
I13 I14 I17 		5
I13 I14 I18 		5
I13 I14 I19 		5
I13 I15 I16 		6
I13 I15 I17 		6
I13 I15 I18 		5
I13 I15 I19 		6
I13 I15 I20 		5
I13 I16 I17 		6
I13 I16 I18 		5
I13 I16 I19 		6
I13 I17 I18 		6
I13 I17 I19 		7
I13 I17 I20 		5
I13 I18 I19 		6
I13 I19 I20 		6
I14 I15 I16 		7
I14 I15 I17 		8
I14 I15 I18 		6
I14 I15 I19 		6
I14 I15 I20 		7
I14 I16 I17 		8
I14 I16 I18 		6
I14 I16 I19 		5
I14 I16 I20 		5
I14 I17 I18 		6
I14 I17 I19 		6
I14 I17 I20 		6
I14 I18 I19 		6
I14 I18 I20 		5
I14 I19 I20 		5
I15 I16 I17 		8
I15 I16 I18 		6
I15 I16 I19 		6
I15 I16 I20 		6
I15 I17 I18 		6
I15 I17 I19 		7
I15 I17 I20 		7
I15 I18 I19 		5
I15 I19 I20 		5
I16 I17 I18 		6
I16 I17 I19 		6
I16 I17 I20 		6
I16 I18 I19 		5
I16 I18 I20 		5
I17 I18 I19 		6
I17 I18 I20 		5
I17 I19 I20 		6
I18 I19 I20 		5
I1 I2 I3 I4 		5
I1 I2 I3 I6 		5
I1 I2 I3 I14 		5
I1 I2 I3 I15 		5
I1 I2 I4 I5 		5
I1 I2 I4 I6 		5
I1 I2 I4 I9 		5
I1 I2 I4 I11 		5
I1 I2 I4 I14 		6
I1 I2 I4 I15 		6
I1 I2 I4 I17 		5
I1 I2 I4 I20 		5
I1 I2 I5 I14 		5
I1 I2 I5 I15 		5
I1 I2 I5 I20 		5
I1 I2 I6 I14 		5
I1 I2 I6 I15 		5
I1 I2 I9 I14 		5
I1 I2 I9 I15 		5
I1 I2 I9 I17 		5
I1 I2 I11 I14 		5
I1 I2 I11 I15 		5
I1 I2 I14 I15 		6
I1 I2 I14 I17 		5
I1 I2 I14 I20 		5
I1 I2 I15 I17 		5
I1 I2 I15 I20 		5
I1 I3 I4 I6 		5
I1 I3 I4 I14 		5
I1 I3 I4 I15 		5
I1 I3 I5 I12 		5
I1 I3 I5 I20 		5
I1 I3 I6 I14 		5
I1 I3 I6 I15 		5
I1 I3 I9 I16 		5
I1 I3 I9 I18 		5
I1 I3 I12 I20 		5
I1 I3 I14 I15 		5
I1 I3 I16 I18 		5
I1 I4 I5 I14 		5
I1 I4 I5 I15 		5
I1 I4 I5 I20 		5
I1 I4 I6 I14 		5
I1 I4 I6 I15 		5
I1 I4 I9 I14 		5
I1 I4 I9 I15 		5
I1 I4 I9 I17 		5
I1 I4 I11 I14 		5
I1 I4 I11 I15 		5
I1 I4 I14 I15 		6
I1 I4 I14 I17 		5
I1 I4 I14 I20 		5
I1 I4 I15 I17 		5
I1 I4 I15 I20 		5
I1 I5 I6 I12 		5
I1 I5 I6 I14 		5
I1 I5 I6 I15 		5
I1 I5 I6 I20 		5
I1 I5 I8 I14 		5
I1 I5 I8 I15 		5
I1 I5 I8 I20 		5
I1 I5 I9 I20 		5
I1 I5 I11 I12 		5
I1 I5 I11 I14 		5
I1 I5 I11 I15 		5
I1 I5 I11 I20 		6
I1 I5 I12 I14 		5
I1 I5 I12 I15 		5
I1 I5 I12 I16 		5
I1 I5 I12 I20 		6
I1 I5 I14 I15 		6
I1 I5 I14 I17 		5
I1 I5 I14 I20 		6
I1 I5 I15 I17 		5
I1 I5 I15 I20 		6
I1 I5 I16 I20 		5
I1 I5 I17 I20 		5
I1 I6 I11 I14 		5
I1 I6 I11 I15 		5
I1 I6 I12 I14 		5
I1 I6 I12 I15 		5
I1 I6 I12 I20 		5
I1 I6 I14 I15 		6
I1 I6 I14 I16 		5
I1 I6 I14 I17 		5
I1 I6 I14 I20 		5
I1 I6 I15 I16 		5
I1 I6 I15 I17 		5
I1 I6 I15 I20 		5
I1 I6 I16 I17 		5
I1 I8 I14 I15 		5
I1 I8 I14 I20 		5
I1 I8 I15 I20 		5
I1 I9 I14 I15 		5
I1 I9 I14 I17 		5
I1 I9 I15 I17 		5
I1 I9 I16 I18 		5
I1 I11 I12 I20 		5
I1 I11 I14 I15 		6
I1 I11 I14 I17 		5
I1 I11 I14 I20 		5
I1 I11 I15 I17 		5
I1 I11 I15 I20 		5
I1 I12 I14 I15 		5
I1 I12 I14 I20 		5
I1 I12 I15 I20 		5
I1 I12 I16 I20 		5
I1 I14 I15 I16 		5
I1 I14 I15 I17 		6
I1 I14 I15 I20 		6
I1 I14 I16 I17 		5
I1 I14 I17 I20 		5
I1 I15 I16 I17 		5
I1 I15 I17 I20 		5
I2 I3 I4 I5 		6
I2 I3 I4 I6 		6
I2 I3 I4 I7 		6
I2 I3 I4 I8 		6
I2 I3 I4 I9 		6
I2 I3 I4 I10 		7
I2 I3 I4 I11 		5
I2 I3 I4 I12 		7
I2 I3 I4 I13 		6
I2 I3 I4 I14 		7
I2 I3 I4 I15 		7
I2 I3 I4 I16 		6
I2 I3 I4 I17 		6
I2 I3 I4 I18 		6
I2 I3 I4 I19 		6
I2 I3 I4 I20 		7
I2 I3 I5 I6 		6
I2 I3 I5 I8 		6
I2 I3 I5 I9 		5
I2 I3 I5 I10 		6
I2 I3 I5 I12 		8
I2 I3 I5 I13 		5
I2 I3 I5 I14 		7
I2 I3 I5 I15 		5
I2 I3 I5 I16 		5
I2 I3 I5 I17 		6
I2 I3 I5 I18 		6
I2 I3 I5 I19 		6
I2 I3 I5 I20 		7
I2 I3 I6 I7 		5
I2 I3 I6 I9 		5
I2 I3 I6 I10 		5
I2 I3 I6 I11 		5
I2 I3 I6 I12 		5
I2 I3 I6 I13 		5
I2 I3 I6 I14 		6
I2 I3 I6 I15 		6
I2 I3 I6 I16 		5
I2 I3 I6 I17 		5
I2 I3 I6 I18 		5
I2 I3 I6 I19 		5
I2 I3 I6 I20 		5
I2 I3 I7 I10 		5
I2 I3 I7 I11 		5
I2 I3 I7 I12 		5
I2 I3 I7 I13 		5
I2 I3 I7 I14 		5
I2 I3 I7 I15 		6
I2 I3 I7 I16 		5
I2 I3 I7 I17 		5
I2 I3 I7 I20 		5
I2 I3 I8 I10 		5
I2 I3 I8 I12 		7
I2 I3 I8 I13 		5
I2 I3 I8 I14 		6
I2 I3 I8 I15 		5
I2 I3 I8 I16 		5
I2 I3 I8 I17 		5
I2 I3 I8 I19 		5
I2 I3 I8 I20 		6
I2 I3 I9 I10 		6
I2 I3 I9 I12 		5
I2 I3 I9 I14 		6
I2 I3 I9 I15 		5
I2 I3 I9 I16 		5
